t1	t2	type
  I think that wealth creation has benefitted a lot of the world, but not all the world	it is more dishonest than other walks of life, because of what it is and what it does	3
There’s all sorts of things to be said for Capitalism, but Capitalism is also a dangerous thing	we’ve partly privatised morality	3
Think about Bill Gates and all the wonderful things that his money is doing.	we’re seeing this with the Barclays example	3
The inherent morality of money making in general, is that it has enriched us all.	It doesn’t expect that if you have a false set of structures, or a false set of purposes, that everything will be fine if you just have very good individuals	3
that is a rather a gloomy view of faith	they think they’re all pretty rotten so they don’t see any particular point in moving from Barclays to Lloyds	3
It can’t be shamed into good behaviour, or even punished into good behaviour.	In every walk of life what really work, even in the economy, is when you negotiate what is reciprocally in your joint interests	3
I think it’s more a matter of trying to shape	we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	3
My suspicion is that if you don’t, in some sense, believe in a transcendent good – in other words that there’s an objective good, that there’s an objective goal for human beings	There is no evidence that that’s going to work	3
You talk about greed; people are indeed very angry about large bankers bonuses.	the Christian faith like the Islamic faith has an account of the way these things should be socially organised	3
Without these things it doesn’t function.	I don’t mean to say that everybody within it concedes to that bad behaviour	3
we lack any sense of the common good	some of the world is suffering from the impact of development on climate change, for example.	3
by hitching society’s wellbeing to free market Capitalism we’ve made a pact with the devil we can’t get out of	The system itself is not intrinsically corrupt; it’s just a few bad apples who can be dealt with by tweaking the rules.	3
Ethical investment banking is a bit like tasteful lap dancing, you know, a kind of contradiction in terms.	I think individualism may be the way forward	3
she represents justice and the common good	investment banks have high complexity	3
One assumes they’re not very tasteful.  	it seems to me we have to somehow find – to educate people in the sense that they have to cope with this complexity	3
I think you are simplifying your duality.	Investment banks are particularly difficult environments for us to have ethical expectations.	3
Boudewijn thinks ther is no wider cultural problem	the history of America shows that.	3
what it requires is that at the top of an organisation, there are angels in a certain sense	investment banks have high complexity	3
The origin of the word ‘credit’ is the Latin ‘Credere’ – to believe.	I think the way we run the economy is responsible for a decline in our morality	3
I would give, as one example of an organisation that’s changed, the BBC actually, which now tends to be pretty truthful even if only because it wasn’t in the past.	you can’t separate morals from practice	3
they’re going to try and serve its purposes	to make it insist on much more neutrality	3
There is no simple way out of these kinds of dilemmas	Some of the people who are doing these wonderful things, and show that they value things in life well beyond money, are also somehow running these really crooked organisation	3
investment banks have high complexity	there’s some very virtuous people who work in the City of London and do extraordinarily good things with their money.	3
if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	they aren’t really implemented in any sensible way within the institutions.	3
It’s not about bad apples, that always seems to be a bit of a distraction that you just focus on a few individuals.	It can’t be shamed into good behaviour, or even punished into good behaviour.	3
Because of the sums of money passing through the investment banks and the markets, they need to have higher standards of care than in other areas.	I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	3
There is an advantage to oaths that we should realise, that we should recognise	the trouble with both Kantian and utilitarian morality is it only happens sometimes, we need to get back to the classics.	3
Investment bankers work very hard for their clients; they provide a lot of intellectual input and a lot of intellectual stimulus for the economy as a whole. They provide some positives as well.	A good chunk of the world did notice the boom times that developed countries had.	3
I think one interesting thing to look at is difference between the adverts that investment banks for clients in things like The Economist or The Financial Times, which say that they’re all about innovation and client service, and then the values that they espouse internally. Particularly during annual reviews, where what they’re after is people who are about making money, and are committed to making money for the firm.	I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	3
what it requires is that at the top of an organisation, there are angels in a certain sense	clearly there may have to be some structural change	3
The origin of the word ‘credit’ is the Latin ‘Credere’ – to believe.	Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	3
The system itself is not intrinsically corrupt; it’s just a few bad apples who can be dealt with by tweaking the rules.	it seems to me that the City of London is now very widely – I mean, people are very, very angry about what’s happened. They’re very widely seen as almost a conspiracy against the common good in as much as there is a huge amount of greed	3
the Armed Forces is one example	individual faith is not strong enough	3
that is that when discussing moral issues, and they have sworn an oath at some point, that the oath can help give them an extra motivation to stay.	they are the home of continuing morality in some ways	3
in the end it’s culture not faith that might save us	the same is true for hospitals and schools and journalism	3
I think that we’re on a loser if we think that we’re going to get out of this by any kind of decline in individualism	I don’t think that there is an ethical regulation	3
Barclay's is an institution that can't carry on.	we’ve stopped thinking of morality as something continuous, something that permeates your whole life, your whole work.	3
Humans flourish on recognition, social recognition	we’re not so much aware that trust is lacking	3
Rules are what determine morality	the Armed Forces is one example	3
we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	In every walk of life what really work, even in the economy, is when you negotiate what is reciprocally in your joint interests	3
You talk about greed; people are indeed very angry about large bankers bonuses.	who are major benefactors	3
It’s actually the culture of social norms which is what’s necessary for us to get this right	as we saw from the emails in the Barclays, the acknowledgement people in Barclays were getting, was they were getting acknowledgement from their colleagues for their bad behaviour	3
Investment banks are characterised by a culture which is just pure exultant, rampant individualism.	I don’t think rules are totally primary	3
Ethics relies upon, in some sense, hierarchy; some hierarchical authority, and in some sense a social purpose. But actually, neither of those things exist in investment banks	I gather Dutch bankers don’t just have rules and regulations	3
I think there needs to be a broad based ethical obligation on board,	if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	3
A good chunk of the world did notice the boom times that developed countries had.	I’m sure they went down the pub afterwards and slapped each other on the back and said you’re a great member of the banker’s club	3
in banking we’ve a totally different situation	Humans flourish on recognition, social recognition	3
if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	In every walk of life what really work, even in the economy, is when you negotiate what is reciprocally in your joint interests	3
angels are very difficult to select, but it has to start at the top	you have just demonised an entire group of people.	3
The inherent morality of money making in general, is that it has enriched us all.	If they take risks with their own money and they can lose their own money, then that’s absolutely fine.	3
by hitching society’s wellbeing to free market Capitalism we’ve made a pact with the devil we can’t get out of	we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	3
It doesn’t expect that if you have a false set of structures, or a false set of purposes, that everything will be fine if you just have very good individuals	I think many clients if they felt they had a real choice, would leave the banks that have been disgraced	3
Boudewijn thinks there is no real banking problem, apart from a few rotten apples	that is something that we don’t read in the newspapers every day	3
this idea that because there were bad apples in the past nothing has changed for the worse, is the argument that’s used about crime; it’s a real cop out	Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	3
that’s a hard concept to get hold of in a very individualised society	so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	3
there is a serious banking issue, yes	you seem to accept that idea of systemic	3
I gather Dutch bankers don’t just have rules and regulations	we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	3
bosses don’t really know what’s going on	I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	3
I think that we’re on a loser if we think that we’re going to get out of this by any kind of decline in individualism	a lot of those investment bankers who have been pilloried haven’t been losing their clients	3
you seem to accept that idea of systemic	No absolutely not.	3
you can’t separate morals from practice	No absolutely not.	3
Investment banks are characterised by a culture which is just pure exultant, rampant individualism.	I was suggesting something rather more optimistic; that actually banking is full of really rather splendid people.	3
if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	I gather Dutch bankers don’t just have rules and regulations	3
people are being incentivised to take huge amounts of risks, with my money.	Investment bankers work very hard for their clients; they provide a lot of intellectual input and a lot of intellectual stimulus for the economy as a whole. They provide some positives as well.	3
Dutch bankers have to take an oath	You need laws that redefine what banking is	3
you famously welcomed the Occupy protesters to St Paul’s Cathedral	I don’t mean to say that everybody within it concedes to that bad behaviour	3
the issue has to do with something else than immoral behaviour	I want Barclays to be less able – I think they should be smaller, I want to break it up, I want to break up the investment banking from retail banking; very, very specific.	3
which is the supreme example of just that individualism and abstraction	I don’t think rules are totally primary	3
If you have exemplars	investment banks that have highly public ethical problems don’t lose their clients.	3
it is more dishonest than other walks of life, because of what it is and what it does	I gather Dutch bankers don’t just have rules and regulations	3
I welcome everybody to Church	You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	3
I think you exaggerate	Generally investment banking reflects business and commerce as a whole.	3
the history of America shows that.	Because of the sums of money passing through the investment banks and the markets, they need to have higher standards of care than in other areas.	3
I don’t think rules are totally primary	Dutch bankers have to take an oath	3
they are the home of continuing morality in some ways	the impact that investment banking has is so big	3
that is something that we don’t read in the newspapers every day	I think that competence is lacking in the banking industry	3
angels are very difficult to select, but it has to start at the top	if individuals take more responsibility for what they do, that is the way forward	3
Generally investment banking reflects business and commerce as a whole.	if individuals take more responsibility for what they do, that is the way forward	3
The system itself is not intrinsically corrupt; it’s just a few bad apples who can be dealt with by tweaking the rules.	they aren’t really implemented in any sensible way within the institutions.	3
Some regulation might help	I think that competence is lacking in the banking industry	3
a lot of those investment bankers who have been pilloried haven’t been losing their clients	I gather Dutch bankers don’t just have rules and regulations	3
individual faith, whatever it’s kind – religious faith or secular faith – faith is completely contingent on our social circumstances	Because of the sums of money passing through the investment banks and the markets, they need to have higher standards of care than in other areas.	3
Humans flourish on recognition, social recognition	what it requires is that at the top of an organisation, there are angels in a certain sense	3
so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	you have just demonised an entire group of people.	3
My favourite story about that is Saint Francis of Assisi, who was so against money that he made his monks put a coin – if they got caught touching money they’d have to put a coin in their mouth and put it in a pile of dung, he hated money so much. But then when he died they build a huge great big expensive mausoleum for him on the top of the	The basis of Capitalism is actually that it requires belief and trust and credit.	3
if individuals take more responsibility for what they do, that is the way forward	some of the world is suffering from the impact of development on climate change, for example.	3
we’re seeing this with the Barclays example	The oath taken by the Queen is another very good example.	3
that in my view damns people	Investment Banks are just too dangerous now as environments.	3
Investment banks are particularly difficult environments for us to have ethical expectations.	They manage risk	3
I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	I wasn’t suggesting that it was guilt money	3
A good chunk of the world did notice the boom times that developed countries had.	Some regulation might help	3
they reflect the standards of business generally	That’s not individualism	3
The incidents of real ethical abuses, let alone criminal abuses, in investment banking is actually very small.	Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	3
I think one interesting thing to look at is difference between the adverts that investment banks for clients in things like The Economist or The Financial Times, which say that they’re all about innovation and client service, and then the values that they espouse internally. Particularly during annual reviews, where what they’re after is people who are about making money, and are committed to making money for the firm.	The inherent morality of money making in general, is that it has enriched us all.	3
Other companies, other organisations, have a sense of mission and also they have bosses who kind of know what’s going on.	It can’t be shamed into good behaviour, or even punished into good behaviour.	3
the issue has to do with something else than immoral behaviour	there is a problem with the way in which, specifically the City of London, has become so large in our economy, out of all proportion to the other things.	3
the investment banks because the global economy is big. If you want to cut the investment banking industry down to size, slash the global economy – it’s not a terribly great idea.	I think there needs to be a broad based ethical obligation on board,	3
I think it’s not going to help change the culture	I don’t get this concept of systemic	3
this idea that because there were bad apples in the past nothing has changed for the worse, is the argument that’s used about crime; it’s a real cop out	There used to be codes operating, professional associations used to discipline people much more clearly	3
so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	Investment banks are characterised by a culture which is just pure exultant, rampant individualism.	3
the free market system itself is based up on a very individualistic anthropology	you can’t separate morals from practice	3
I think you are simplifying your duality.	It’s actually the culture of social norms which is what’s necessary for us to get this right	3
Investment Banks are just too dangerous now as environments.	the benefit system is precisely one of those systems that encourages immoral behaviour	3
I think it’s more a matter of trying to shape	You need laws that redefine what banking is	3
what I think we have to do is we have to have a deeper sense of individualism, where individualism is not simply about how much money you earn and how famous you are or whether you were on X Factor, but individualism that goes back to a more classical account of what individual fulfilment is and what it is to live the good life	clearly there may have to be some structural change	3
so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	that in my view damns people	3
there are many examples in society where these codes of proper conduct have continued	I think that competence is lacking in the banking industry	3
It’s not about bad apples, that always seems to be a bit of a distraction that you just focus on a few individuals.	a lot of those investment bankers who have been pilloried haven’t been losing their clients	3
which is the supreme example of just that individualism and abstraction	they’re not just playing with their own money	3
The origin of the word ‘credit’ is the Latin ‘Credere’ – to believe.	they are moral	3
Rules are what determine morality	There used to be codes operating, professional associations used to discipline people much more clearly	3
they reflect the standards of business generally	I think one interesting thing to look at is difference between the adverts that investment banks for clients in things like The Economist or The Financial Times, which say that they’re all about innovation and client service, and then the values that they espouse internally. Particularly during annual reviews, where what they’re after is people who are about making money, and are committed to making money for the firm.	3
it has to be understood amongst a basket of values including things like fairness	I think the way we run the economy is responsible for a decline in our morality	3
My favourite story about that is Saint Francis of Assisi, who was so against money that he made his monks put a coin – if they got caught touching money they’d have to put a coin in their mouth and put it in a pile of dung, he hated money so much. But then when he died they build a huge great big expensive mausoleum for him on the top of the	you have to follow the rules, and you have to know the rules and you have to have the power to stick to the rules	3
the way in which our politicians defer to it and so forth, that’s the nature of the problem, it’s not the problem of business per se.	I think one interesting thing to look at is difference between the adverts that investment banks for clients in things like The Economist or The Financial Times, which say that they’re all about innovation and client service, and then the values that they espouse internally. Particularly during annual reviews, where what they’re after is people who are about making money, and are committed to making money for the firm.	3
they’re going to try and serve its purposes	I don’t mean to say that everybody within it concedes to that bad behaviour	3
You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	it is more dishonest than other walks of life, because of what it is and what it does	3
No absolutely not.	Those different structures relate to a different sense of what the purpose of money is	3
You have to enforce a culture that makes people think broadly about ethics; that has to come from both outside and inside.	When cars were made safer, initially what happened what drivers just drove more dangerously because cars are very individualistic environments. Someone suggested that the only thing you could do was put a six inch nail in the steering wheel, pointing out at the driver – isn’t that what we have to do with investment banks?	3
you have just demonised an entire group of people.	It can’t be shamed into good behaviour, or even punished into good behaviour.	3
bosses don’t really know what’s going on	the benefit system is precisely one of those systems that encourages immoral behaviour	3
they’re not just playing with their own money	these are banking reforms, they’re not moral	3
Yes, and even with these egregious examples of which I am the strongest possible critic, it is the case – because the system is still just about working – that trust and credit, and codes and mutuality and things like that still exist, to some extent.	Banking, like so much else, has become deprofessionalised.	3
I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	Christianity has a problem with wealth creation	3
the free market system itself is based up on a very individualistic anthropology	I don’t think that’s what this is about, and I don’t think it’s what it’s about for me.	3
they aren’t really implemented in any sensible way within the institutions.	what they declare is the following: they start their oath with saying “I declare that I will perform my duties as a banker with integrity and care, and I will consider carefully all the interests involved in the bank. The clients, the shareholders, the employees and the society in which the bank operates, and then there are five or six lines that continue	3
I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	The origin of the word ‘credit’ is the Latin ‘Credere’ – to believe.	3
Some of the people who are doing these wonderful things, and show that they value things in life well beyond money, are also somehow running these really crooked organisation	there’s a lack of investment in management training	3
You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	Giles thinks that the banking industry, the City of London and Capitalism are upsetting and immoral.	3
I think it’s not going to help change the culture	I do not believe in free, free, free market Capitalism, as if there’s absolutely no regulation whatsoever.	3
the trouble with both Kantian and utilitarian morality is it only happens sometimes, we need to get back to the classics.	she represents justice and the common good	3
that is a rather a gloomy view of faith	Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	3
it seems to me that the City of London is now very widely – I mean, people are very, very angry about what’s happened. They’re very widely seen as almost a conspiracy against the common good in as much as there is a huge amount of greed	My favourite story about that is Saint Francis of Assisi, who was so against money that he made his monks put a coin – if they got caught touching money they’d have to put a coin in their mouth and put it in a pile of dung, he hated money so much. But then when he died they build a huge great big expensive mausoleum for him on the top of the	3
There is no simple way out of these kinds of dilemmas	you have just demonised an entire group of people.	3
Humans flourish on recognition, social recognition	the history of America shows that.	3
One assumes they’re not very tasteful.  	this idea that because there were bad apples in the past nothing has changed for the worse, is the argument that’s used about crime; it’s a real cop out	3
I think the interesting thing is that banks do have codes of ethics, but to the extent they have them they are incredibly disappointing, if not total crap.	Christianity is very ambivalent about money.	3
Rules are what determine morality	so that you can go after them in the same way that in sectors that are really important to people’s lives, like water or nuclear power, there’s criminal liability on company directors.	3
The oath taken by the Queen is another very good example.	It doesn’t expect that if you have a false set of structures, or a false set of purposes, that everything will be fine if you just have very good individuals	3
That’s given us everything from sewage and welfare and trains, to museums and orchestras.	what they declare is the following: they start their oath with saying “I declare that I will perform my duties as a banker with integrity and care, and I will consider carefully all the interests involved in the bank. The clients, the shareholders, the employees and the society in which the bank operates, and then there are five or six lines that continue	3
  I think that wealth creation has benefitted a lot of the world, but not all the world	People find it very difficult in a very strongly individualistic culture to understand what’s being meant by the phrase the common good	3
Investment bankers work very hard for their clients; they provide a lot of intellectual input and a lot of intellectual stimulus for the economy as a whole. They provide some positives as well.	they are unethical rather than despite it	3
it has to be understood amongst a basket of values including things like fairness	Other companies, other organisations, have a sense of mission and also they have bosses who kind of know what’s going on.	3
they find it hard to put the two at odds, and to understand that they ought to be leaning towards the common good and not towards personal and individual interest	It’s more than just impact.	3
I think many clients if they felt they had a real choice, would leave the banks that have been disgraced	You talk about greed; people are indeed very angry about large bankers bonuses.	3
There used to be codes operating, professional associations used to discipline people much more clearly	I think that if you look at trust in the banking sector, we’ve seen that it’s been declining to very low levels	3
I don’t have problems with hedge funds making a lot of money, the partnership model; if they go bust, they go bust.	it seems to me we have to somehow find – to educate people in the sense that they have to cope with this complexity	3
the very existence of these institutions which have so much power	You need laws that redefine what banking is	3
Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	there is a problem with the way in which, specifically the City of London, has become so large in our economy, out of all proportion to the other things.	3
they find it hard to put the two at odds, and to understand that they ought to be leaning towards the common good and not towards personal and individual interest	No absolutely not.	3
you have just demonised an entire group of people.	I welcomed them to the Church actually	3
You have to enforce a culture that makes people think broadly about ethics; that has to come from both outside and inside.	Because of the sums of money passing through the investment banks and the markets, they need to have higher standards of care than in other areas.	3
Those different structures relate to a different sense of what the purpose of money is	Some of the people who are doing these wonderful things, and show that they value things in life well beyond money, are also somehow running these really crooked organisation	3
you have the sense that it’s okay to make a reasonable profit, but I’ve got to have a social purpose as well	if individuals take more responsibility for what they do, that is the way forward	3
that in turn reinforces the centrality of money, and particularly of finance capital	what’s happening in the industrial revolution we’re experiencing at the moment, is precisely that 70% of the world is benefitting from it. Whereas the industrial revolution of the nineteenth century was confined to Europe and North America.	3
they’re going to try and serve its purposes	I don’t think that there is an ethical regulation	3
you have the sense that it’s okay to make a reasonable profit, but I’ve got to have a social purpose as well	she represents justice and the common good	3
I think a lot of people would like to reject their bank, but they find it practically difficult to do so	Investment banks have to become environments where the risk, all the risk, falls on the people within the institutions.	3
Investment Banks are just too dangerous now as environments.	It’s not about bad apples, that always seems to be a bit of a distraction that you just focus on a few individuals.	3
that in my view damns people	If they take risks with their own money and they can lose their own money, then that’s absolutely fine.	3
You need laws that redefine what banking is	You talk about greed; people are indeed very angry about large bankers bonuses.	3
That’s very different from saying that there is a kind of systemic rot in banking	I think the way we run the economy is responsible for a decline in our morality	3
I think a lot of people would like to reject their bank, but they find it practically difficult to do so	the same is true for hospitals and schools and journalism	3
it seems to me we have to somehow find – to educate people in the sense that they have to cope with this complexity	there is one caveat	3
I think there needs to be a broad based ethical obligation on board,	you have the sense that it’s okay to make a reasonable profit, but I’ve got to have a social purpose as well	3
I know bankers who behave absolutely splendidly	they are the home of continuing morality in some ways	3
there’s a lack of investment in management training	Banking, like so much else, has become deprofessionalised.	3
I think that we’re on a loser if we think that we’re going to get out of this by any kind of decline in individualism	that presupposes a God, or at least a recording angel to see our misdeeds when we commit them.	3
Investment banks are particularly difficult environments for us to have ethical expectations.	You talk about greed; people are indeed very angry about large bankers bonuses.	3
someone will always find a way around a rule.	if individuals take more responsibility for what they do, that is the way forward	3
in the end it’s culture not faith that might save us	you have just demonised an entire group of people.	3
corporations have no souls to damn and no bodies to kick.	a lot of those investment bankers who have been pilloried haven’t been losing their clients	3
Investment Banks are just too dangerous now as environments.	my theory is that trust not only requires moral integrity, but also competence	3
what we need much more is a sense of reciprocity that it’s not just that my interest happens to coincide with yours.	I don’t have problems with hedge funds making a lot of money, the partnership model; if they go bust, they go bust.	3
Ethics relies upon, in some sense, hierarchy; some hierarchical authority, and in some sense a social purpose. But actually, neither of those things exist in investment banks	I think individualism may be the way forward	3
they are unethical rather than despite it	Christianity is very ambivalent about money.	3
the investment banks because the global economy is big. If you want to cut the investment banking industry down to size, slash the global economy – it’s not a terribly great idea.	no, I actually think faith of all kinds, and approximations to faith, are incredibly important	3
I don’t think that there is an ethical regulation	I don’t mean to say that everybody within it concedes to that bad behaviour	3
you famously welcomed the Occupy protesters to St Paul’s Cathedral	my theory is that trust not only requires moral integrity, but also competence	3
The system itself is not intrinsically corrupt; it’s just a few bad apples who can be dealt with by tweaking the rules.	I think Michael Portillo is completely wrong	3
they are unethical rather than despite it	we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	3
Those different structures relate to a different sense of what the purpose of money is	if the integrated investment banks can’t actually manage their activities on a sensible ethical basis	3
I was suggesting something rather more optimistic; that actually banking is full of really rather splendid people.	you can’t separate morals from practice	3
that’s a hard concept to get hold of in a very individualised society	If they take risks with their own money and they can lose their own money, then that’s absolutely fine.	3
You take someone like Bob Diamond, in other industries he would have been sent off for two years to run branch banking so he knew more about it, before becoming a group Chief Executive.	this idea that because there were bad apples in the past nothing has changed for the worse, is the argument that’s used about crime; it’s a real cop out	3
I think the model of the ‘hidden hand’ has been vastly overplayed.	If we live in a society where you get kudos for having just a whole lot of money, then people will pursue that	3
Banking, like so much else, has become deprofessionalised.	what I think we have to do is we have to have a deeper sense of individualism, where individualism is not simply about how much money you earn and how famous you are or whether you were on X Factor, but individualism that goes back to a more classical account of what individual fulfilment is and what it is to live the good life	3
the history of America shows that.	investment banks have high complexity	3
I think that we’re on a loser if we think that we’re going to get out of this by any kind of decline in individualism	Many people would raise their eyebrows at the idea that investment banks are successful in terms of managing risks.	3
there’s a lack of investment in management training	what’s happening in the industrial revolution we’re experiencing at the moment, is precisely that 70% of the world is benefitting from it. Whereas the industrial revolution of the nineteenth century was confined to Europe and North America.	3
if individuals take more responsibility for what they do, that is the way forward	we lack any sense of the common good	3
we lack both reciprocity and teleology	the trouble with both Kantian and utilitarian morality is it only happens sometimes, we need to get back to the classics.	3
that helps perpetuate a very nasty culture within some of the banks	I think it’s not going to help change the culture	3
you have the sense that it’s okay to make a reasonable profit, but I’ve got to have a social purpose as well	who are major benefactors	3
I don’t think rules are totally primary	Investment banks are characterised by a culture which is just pure exultant, rampant individualism.	3
that is that when discussing moral issues, and they have sworn an oath at some point, that the oath can help give them an extra motivation to stay.	I don’t get this concept of systemic	3
Ethics relies upon, in some sense, hierarchy; some hierarchical authority, and in some sense a social purpose. But actually, neither of those things exist in investment banks	A good chunk of the world did notice the boom times that developed countries had.	3
That’s very different from saying that there is a kind of systemic rot in banking	I think one interesting thing to look at is difference between the adverts that investment banks for clients in things like The Economist or The Financial Times, which say that they’re all about innovation and client service, and then the values that they espouse internally. Particularly during annual reviews, where what they’re after is people who are about making money, and are committed to making money for the firm.	3
the way in which our politicians defer to it and so forth, that’s the nature of the problem, it’s not the problem of business per se.	we’re seeing this with the Barclays example	3
Boudewijn thinks there is no real banking problem, apart from a few rotten apples	I think the way we run the economy is responsible for a decline in our morality	3
investment banks have high complexity	some of the world is suffering from the impact of development on climate change, for example.	3
that will help you to follow these rules	Boudewijn thinks there is no real banking problem, apart from a few rotten apples	3
Investment banks historically haven’t invested in training their management, and that’s a real problem.	we shouldn’t be too optimistic there that we can develop regulation that makes banks change their cultures	3
you have just demonised an entire group of people.	they aren’t really implemented in any sensible way within the institutions.	3
this idea that because there were bad apples in the past nothing has changed for the worse, is the argument that’s used about crime; it’s a real cop out	Some regulation might help	3
Some of the people who are doing these wonderful things, and show that they value things in life well beyond money, are also somehow running these really crooked organisation	That’s not individualism	3
I want Barclays to be less able – I think they should be smaller, I want to break it up, I want to break up the investment banking from retail banking; very, very specific.	you have to follow the rules, and you have to know the rules and you have to have the power to stick to the rules	3
the very existence of these institutions which have so much power	otherwise I don’t receive self-respect	3
That’s not individualism	I know bankers who behave absolutely splendidly	3
we might for instance want banks to split and to ring fence retail banking from high risk investment for instance	a lot of those investment bankers who have been pilloried haven’t been losing their clients	3
I think many clients if they felt they had a real choice, would leave the banks that have been disgraced	if individuals take more responsibility for what they do, that is the way forward	3
